age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
39,0,77516, Bachelors,13,1, Adm-clerical,0,0,0,2174,0,40,0,0
50,1,83311, Bachelors,13,0, Exec-managerial,1,0,0,0,0,13,0,0
38,2,215646, HS-grad,9,1, Handlers-cleaners,0,0,0,0,0,40,0,0
53,2,234721, 11th,7,0, Handlers-cleaners,1,1,0,0,0,40,0,0
28,2,338409, Bachelors,13,0, Prof-specialty,2,1,1,0,0,40,1,0
37,2,284582, Masters,14,0, Exec-managerial,2,0,1,0,0,40,0,0
49,2,160187, 9th,5,1, Other-service,0,1,1,0,0,16,1,0
52,1,209642, HS-grad,9,0, Exec-managerial,1,0,0,0,0,45,0,1
31,2,45781, Masters,14,1, Prof-specialty,0,0,1,14084,0,50,0,1
42,2,159449, Bachelors,13,0, Exec-managerial,1,0,0,5178,0,40,0,1
37,2,280464, Some-college,10,0, Exec-managerial,1,1,0,0,0,80,0,1
30,0,141297, Bachelors,13,0, Prof-specialty,1,2,0,0,0,40,1,1
23,2,122272, Bachelors,13,1, Adm-clerical,3,0,1,0,0,30,0,0
32,2,205019, Assoc-acdm,12,1, Sales,0,1,0,0,0,50,0,0
40,2,121772, Assoc-voc,11,0, Craft-repair,1,2,0,0,0,40, ?,1
34,2,245487, 7th-8th,4,0, Transport-moving,1,1,0,0,0,45,1,0
25,1,176756, HS-grad,9,1, Farming-fishing,3,0,0,0,0,35,0,0
32,2,186824, HS-grad,9,1, Machine-op-inspct,4,0,0,0,0,40,0,0
38,2,28887, 11th,7,0, Sales,1,0,0,0,0,50,0,0
43,1,292175, Masters,14,1, Exec-managerial,4,0,1,0,0,45,0,1
40,2,193524, Doctorate,16,0, Prof-specialty,1,0,0,0,0,60,0,1
54,2,302146, HS-grad,9,1, Other-service,4,1,1,0,0,20,0,0
35,0,76845, 9th,5,0, Farming-fishing,1,1,0,0,0,40,0,0
43,2,117037, 11th,7,0, Transport-moving,1,0,0,0,2042,40,0,0
59,2,109015, HS-grad,9,1, Tech-support,4,0,1,0,0,40,0,0
56,0,216851, Bachelors,13,0, Tech-support,1,0,0,0,0,40,0,1
19,2,168294, HS-grad,9,1, Craft-repair,3,0,0,0,0,40,0,0
54, ?,180211, Some-college,10,0, ?,1,2,0,0,0,60,1,1
39,2,367260, HS-grad,9,1, Exec-managerial,0,0,0,0,0,80,0,0
